product,date,title,rating,review_list
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 29 October 2020,Edit: Stopped functioning in 3 months.,1,"Sound Quality is Impressive. Nothing to complain about.The carrying case can charge the earbuds upto  3 times to a full chargeI use a single earbud at a time, because I mostly use it for phone conversations.Perfect fit inside a helmet while riding a bike.But i do enjoy the stereo quality at times.Excellent price for triple nine.Better than expected.Finally a functional product that will use.Edit: Right Earbud stopped functioning after 2 months. Now left earbud also stopped functioning after 3 months.Will edit review with warranty feedback."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 22 October 2020,Terrific product for budget !!!👍,4,"Don't hear what haters say, still best2 months usage  review Product is awesome ,ProsTotally premium look for budget 999/-Fit to ears if smaller rubbers fittedCase is very small and good fit for budsBuds are light weightBass is 8/10Sound  9/10Sound effect 7/10Mic 7/10Battery 6.5/10ConsThe Case ,charge indicator glass was broken when I got the product , that was sad but no issuesThere are better good buds if u spend more money"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 19 October 2020,Charging case cap loose.,1,Though I got the product at discounted price but quality is compromised. The cap of Charging case was very loose.
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 5 November 2020,Not To Go!!!!,1,"Honestly this product is not Good. Return & Replaced product also same behaviour.1) Poor pairing & Connective - if u move 4 or 5 meter away from phone bluetooth pairing get disconnected.2) Sound - Look like 100rs headphone sound.3) During Phone Call: Voice not clear and voice break, echoing during ms team meeting call4) Appario Retail Private Ltd: Distribution cheap quality, no Quality check. (Recently I order one mobile - Stop working in one month and I spend 3000rs to repair, one airpod - Completely dead with in 2 month). Totally waste of money when we ordered in Amazon.4) Only Good thing is battery life is Good as per specification."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 14 December 2020,"""Left bud stopped working with 10 days""",1,"Nice bluetooth earphones at this range ""but"" Amazon really tricked me this time. I got my earphones on 3rd of December and within 10 days my left bud stopped working and when I tried to return it, it shows I can't return it now. How in the hell do you have return policy of less than 14 days? Are you kidding me?I got this for my online classes but damn all I got was to get tricked. ₹ 1300 bucks wastwd. I registered a complaint on boat website so it must be fine no. All I want to say is your return policy sucks. Y'all are doing the customers dirty."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 26 June 2021,घटिया प्रोडक्ट,1,एक पीस खराब हो गया है एक हिस्सा ही काम कर रहा है उसे भी कनेक्ट करने में समस्या आती हैंफोन पर बात करते समय दूसरा व्यक्ति समझ ही नही पाता कि में क्या बोल रहा हूँ उसे किलियर साउंड पहोच ही नही पाता .....अपने जीवन में मैने कभी इतना ज्यादा घटिया प्रोडक्ट नही देखा  बरेली जैसे बड़े शहर मेंसर्विस सेंटर का अता पता नही है कस्टमर केयर वाले फोन नही उठाते मेरे पूरे पैसे पानी मैं चले गए इससे अच्छा एक 40 रुपये वाला ईयर फोन खरीद लेता वह इससे बेहतर काम करता  वैसे में कभी किसी प्रोडक्ट की समीक्षा नही करता लेकिन इस उपकरण के इतने घटिया पर्दशन के चलते मुझेयह समीक्षा करनी पड़ी ..........!
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 4 November 2020,Edit after 10days of use - not genuine product,2,"Edit - one earphone stopped working. Thank fully the return window is still open. Do not purchase - 100% refurbished product.The product was delivered as a refurbished piece.Not a brand new piece.How do I know? The left headphones was loosely set up, the button wasn’t in motion VS the right headphones which were crisp."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 6 November 2020,Bang for your buck!,5,"I bought these in the great indian sale for ₹999TLDR;- Good sound and mic- Comfortable- Good quality- Decent battery life- Value for moneyFull review:- Firstly, the build quality. It feels sturdy and has magnets for the lid as well as the buds themselves. The case also has a satisfying click when closed :)- The buds are very lightweight and fit comfortably in the ears.- As soon as you pull out a bud from the case, it will get connected if you've paired with a device. As soon as you put it back in the case it'll disconnect. The magnet is strong and doesn't open when dropped :p- Sound quality is excellent for the price. If you connect with a device and the sound quality is bad or breaking, try closing any tabs/apps using the mic. Bluetooth headsets loose quality when mic is being used.- The percent displayed on the case is beautiful. Also very useful to know how much charge is left in the case. The charge left on the buds can be check on the paired device- The device works in mono or stereo, depending on how many buds are outside the case.- The box was sealed with shrinkwrap as well as two plastic seals, one on either sides.- There is one clickable button on each bud, which multifunctions as play/pause, accept calls, google assistant trugger, turn on/off, and reset settings- The mic quality is apparantly good as well, based on my conversation with a friend- With low to moderate usage these have lasted over 3 days now, with 100% on the buds and 20% on the case- BoAt also seems to have good after sales support. One of friends had had his headphones replaced a few times. And they have physical service centers available.All in all these buds are a bang for your buck10/10 would buy again"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 21 October 2020,Ok,3,"worth for the money ,I bought it for 999."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 26 October 2020,Value for money!!,4,"I bought this during Amazon great Indian sale 2020 at price tag of 999rs.If you are intrested in buying truly wireless earbuds of branded company this are best.Bass is low but enough.not recommended for gaming.sound quality is between good and average.Cap of case is feels loose.overall good product in this price tag, I am Happy with it😊"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 28 October 2020,Value for money,4,Awesome product in this price segment.Pros:- value for money 10/10  Bass 8/10  Vocal 9/10  Overall 8.5/10Cons:-. Charging case is not upto the markOverall awesome Product 👌
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 3 November 2020,Fake product of boat,1,Please don't buy this airdopes. It's a totally fake item nd its sounds quality too low to damage our ears nd also generate a painful noise.
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 25 October 2020,Value for money,5,"Purchased on amazon prime day sale and is worth the money.  Sound quality is good,  fits well in the ears,  features are good,  call quality also was nice. If your looking for airpods one must try this out.  Have not tried beyond a few hours so not sure of battery life,  will give feedback on battery life once I try it out completely."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 5 November 2020,Value of money,4,"Hi Gyus,I'm sharing my review after using the product 2 days.--pros1. Sound quality is up to standard (Smooth beats) (4/5).2. Buds battery last for 3.5 (5/5).3. Charging case battery percentage which let you know the charge remaining.4. Light weight buds.5. MFC works like charm.6. Connected to paired device within 2 second.--Cons1.  I observe sometimes connection interrupted even though buds are within 1 meter. It happens very rarely, not sure it's problem with this version or only with this particular device."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 26 October 2020,Worst battery backup,4,Connectivity & sound quality is upto the mark. But it provides only 6 hrs of battery backup. Company claimed that the case will give 4 time full charge of earbuds. But actually it is able to charge only one time fully.  Boat should take care of the battry backup. Over all good product @999 /-
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 4 November 2020,Good at this price point,3,"At this price airdopes are a good deal to catch but the worst thing is the connectivity they connect quickly but while playing songs while riding or doing any activity if you keep the phone in pocket or far than 2-3 meters the connection starts to distort soo all over good earphones but I'll give 1 star for the connectivity bass is good sound is good battery life is decent the case is bit loose and looks okish they stay in ears even while running, playing badminton, cricket don't buy these if you are thinking to use it while riding you will get frustrated"
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 27 October 2020,Improve song quality,1,"Worst, when i listening my class, Bluetooth turns off after 15 seconds, when my Mobile display gets off,And i can't hear song also after 15 seconds when my mobile screen is gets off."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 8 November 2020,Not useful as a calling device. Only a listening device.,3,"This first and foremost drawback about this product is that this headset doesn't have a mic. If you're wearing this, you still have to speak into the phone. It means this is only good for listening.The sound quality and bass is very good. Battery life is not very good I guess. Value for money, definitely NO. If they could put so many things into this little headset, they could have accommodated a microphone too."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 18 March 2021,nice sound and back-up....lacks the design and fit,3,"The media could not be loaded.
                



 Received safely along with all original packaging, w-card, instructions etc. been using for few weeks.sound quality is excellent. cute carry-on case with charging. The back-up is straight 7-8 hrs (3-4hr aprox for continue movies and songs) and the carry case is itself a on-the-go charger.. so total back-up we can say is approx 10-12 hrs or more.sound, bass, noice cancellation, battery backup everything is perfect .. but the fitting..Its not comfortable to wear, easily falls off. I have to be always alert while wearing it. so thats a big nono for this product.The boxy shape doesn't fits inside the ear cavity that well. the earplug holds a bit but the design looses its fit.With consideration of all its good qualities, the design of product seems big fail. some holder attachement might help a bit."
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 7 November 2020,Heat issue wich is very dangours,1,It has a terrabile heating issue only for 10 to 15 min of useage it is heating like anything nd it cause health issues I highly suggest don't buy this type of product I have done a mistake and no return policy only replacement even these seller known the truth
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 27 October 2020,Bluethoot connectivity is not proper working with this product.,2,Worst connectivity shown on this product.Because when i connected this product with bluethoot then that connection is disconnected after 10min automatically.So that is not proper product for wireless product.
"Amazon.in:Customer reviews: boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic with Upto 14 Hours Playback, Lightweight 8Mm Drivers, Led Indicators and Multifunction Controls (Active Black)",Reviewed in India on 7 November 2020,Consider the price and Go for it.,5,"Well. This is my first TWS headset, but I feel its quiet nice. Has better bass, hands free is also fine. No pain in ears even when we use the button to take up calls and play music, the button is very soft. It's just 4 hours since I got this and yet to know about the battery life. This is my 4th boat product, all of them performs to the mark and hope this one also will."
